0,1,2
75.712425,35.111351,186.073029
75.320381,34.70052,183.457703
75.619087,34.566765,183.131989
75.133682,34.308804,181.857834
75.656425,34.175045,182.231445
76.151154,33.897972,182.365555
76.25383,33.67823,180.727371
77.448647,34.041286,181.733276
77.327301,34.146389,182.087769
77.598007,34.203705,181.742874
77.252632,34.423454,182.011139
77.485985,34.423454,181.915314
77.037941,34.604984,182.25061
76.88858,34.6623,182.202698
76.608551,34.547653,182.710449
76.552551,34.46167,183.294846
78.130074,34.155941,183.246933
76.561874,33.983971,182.672119
76.393852,34.012623,182.969101
75.843117,33.811989,182.432632
75.824448,33.592243,183.467255
76.412521,33.697342,184.070801
76.319176,33.792877,184.147476
76.384514,33.477596,184.061249
76.543198,33.850208,184.904282
76.543198,33.697342,184.28157
76.608551,33.573139,182.317657
76.543198,33.53492,183.170303
75.60041,33.611359,182.336823
76.001793,33.592243,183.476868
76.179153,34.308804,183.179886
76.235168,34.222813,181.924896
75.637741,34.031738,181.551254
77.028587,34.203705,181.14888
77.31797,33.983971,180.966873
76.972595,34.299252,181.359665
77.756699,34.308804,181.915314
77.495316,34.327911,181.886551
75.908463,34.585876,178.523987
76.113815,34.88205,179.060471
75.684425,34.901161,179.539459
76.337837,34.566765,179.32869
75.544411,34.46167,178.22699
76.440514,34.891602,175.669128
76.319176,34.85339,175.266769
76.823242,34.78651,175.707443
77.626007,34.442562,174.06926
77.308632,34.327911,172.847809
77.476654,34.203705,172.295776
77.028587,33.764217,170.373123
76.393852,33.878864,169.592636
76.057808,34.757851,168.536118
76.561874,34.729183,167.289276
77.061371,34.652756,166.661072
77.274117,34.891602,166.603989
77.190872,34.796062,165.7854
76.719124,34.644276,166.727676
77.597862,34.928875,166.394592
78.495102,35.498055,166.965652
79.096352,36.029297,168.926361
79.179596,35.630863,168.298187
78.93911,35.858536,168.212524
78.707863,35.687786,167.48912
78.596863,34.881447,169.906723
79.447861,35.042713,169.887695
78.37487,34.691711,170.068527
79.808601,34.871952,169.887695
80.807602,34.909901,168.716965
79.87336,34.900414,168.840714
79.864098,34.82452,168.888306
80.298851,35.052197,169.316589
79.484856,34.663258,168.069763
80.511604,34.72966,168.726486
81.862099,34.606339,169.640244
81.908348,34.483006,169.145309
83.147842,34.539936,169.725876
84.072838,34.720173,169.468918
83.490082,34.40712,169.963867
83.573326,34.777088,169.811554
83.527092,34.748634,169.497452
83.943336,35.166027,170.296967
83.906334,35.071167,170.135162
84.054329,35.03323,170.563461
83.508583,35.080654,169.830566
83.647331,35.298847,170.039978
83.638092,34.995277,169.573608
84.34108,34.445072,168.897812
84.072838,34.900414,167.536728
83.786087,34.672741,168.088776
85.636078,34.909901,170.211319
84.156082,34.122532,170.982254
82.324585,33.923306,169.887695
81.695595,33.866402,167.403458
81.464355,33.67667,167.565292
80.992592,32.936733,163.520126
80.918602,32.623684,163.348785
80.511604,32.405491,164.119751
80.696609,32.026035,164.310135
80.752098,32.917763,163.462997
79.4571,33.496429,164.443375
79.984352,33.686157,164.186356
80.585602,33.619751,165.128662
80.400604,33.392078,163.948441
80.178604,33.657696,163.624832
80.002846,33.183376,163.253601
78.883614,33.154915,164.624222
78.837357,33.221333,164.443375
79.318359,33.050571,163.719971
80.308098,33.116974,164.786026
78.883614,32.709053,163.528168
79.244354,32.83239,165.580429
80.520844,32.728031,164.823883
79.780846,32.965191,161.144928
78.911354,32.955704,161.750168
78.347107,32.908272,160.530182
76.623375,31.883743,157.447052
76.705894,32.187309,157.778061
76.513359,32.576256,156.737747
76.696739,32.500927,155.338058
76.394165,32.830456,156.331085
77.732803,32.708065,156.775604
79.694923,32.773972,156.766113
79.850777,32.877529,157.475433
79.511543,33.047005,157.210602
79.68576,33.197643,161.977173
79.419861,33.094082,160.303207
79.9608,33.3577,160.643661
79.924126,33.433029,160.690964
79.557373,35.542004,160.72876
79.346512,35.10891,160.974686
79.346512,35.259556,161.088181
79.364838,34.807632,160.794998
79.887466,34.958275,160.511276
80.446747,35.09008,160.473434
81.08857,35.796215,161.854218
79.529884,35.871536,162.033905
79.804947,35.843292,162.327103
79.768272,35.767971,163.036392
79.080605,35.344292,162.364914
79.814102,35.457268,165.542587
80.024986,35.542004,166.66803
79.273155,35.13715,165.854706
79.676582,35.250141,167.954239
76.320824,35.005344,166.734253
76.155769,34.506344,166.403229
76.513359,35.014751,167.765091
76.595871,35.353699,170.091629
76.375824,35.259556,169.845734
75.678993,34.96769,167.963699
76.861778,34.986507,167.131439
77.045135,35.466686,165.561523
78.007858,34.421612,167.008514
77.567764,33.536591,166.091141
78.127052,33.527176,166.516724
80.034164,33.969685,168.436569
79.621567,33.367119,166.110031
81.647865,34.308624,170.328064
80.905197,34.327457,169.997025
81.207764,34.431026,170.668533
80.153351,33.969685,170.999557
79.621567,33.913197,170.214554
79.896637,33.790794,169.51474
80.245049,33.611912,170.375336
80.538437,33.47068,170.706345
80.015831,33.197643,169.675507
80.190041,33.03759,169.836273
80.703476,33.094082,169.675507
80.428421,33.329456,170.015961
80.67598,33.291794,169.353943
80.501778,33.178814,169.864655
81.519501,32.92461,169.457962
80.786011,32.971687,170.110519
80.611794,33.15057,168.474396
80.510925,32.868118,169.705658
80.547607,32.548004,169.43309
79.511543,32.651573,170.119217
79.227318,32.510342,168.070267
80.639297,32.877529,167.666107
80.539291,32.99052,167.844711
79.602898,32.934025,167.835297
79.530174,32.557419,167.120987
79.539268,32.246719,167.656677
79.130157,32.293804,167.637894
78.057388,32.564777,167.572128
80.866577,32.57412,167.637894
82.002991,32.490025,167.280762
82.64846,32.546093,167.553329
83.212135,32.789047,166.979996
83.821236,32.415272,168.831573
85.466751,32.387238,169.592865
